# partition_overlap_shell_SrTiO3.csv - scripts/scan_partition_sensitivity.py
# Per-mode Route S vs Route H comparison over the 150-200 cm-1 shell at 300 K.
# gamma_S = -D/(2*omega0^2); gamma_H = -D/(2*omega_r^2), omega_r from the
# 300 K bare->renormalized eigenvalue map; rel_diff = (gamma_H-gamma_S)/|gamma_S|.
q_index,branch,omega0_cm1,omega_r_cm1,D_cm2,gamma_S,gamma_H,rel_diff
177,4,154.2329,181.2668,3704.1379,-0.077858,-0.056366,0.276035
177,5,168.9289,193.9578,28487.4659,-0.499132,-0.378625,0.241434
177,6,192.4086,224.9646,33367.8924,-0.450661,-0.329663,0.268489
178,4,167.5839,196.2287,-20172.6669,0.359144,0.261944,-0.270644
178,5,181.6083,212.3566,-33161.1312,0.502722,0.367678,-0.268626
178,6,192.2522,224.1652,61051.6085,-0.825894,-0.607478,0.264460
179,5,164.4916,190.9817,-63705.1425,1.177218,0.873295,-0.258170
180,5,159.5413,196.8466,-108141.5390,2.124303,1.395425,-0.343114
181,5,156.1660,183.7616,-136865.1405,2.806013,2.026532,-0.277790
182,5,156.1660,183.7616,-136865.1405,2.806013,2.026532,-0.277790
183,5,159.5413,196.8466,-108141.5390,2.124303,1.395425,-0.343114
184,5,164.4916,190.9817,-63705.1425,1.177218,0.873295,-0.258170
185,4,167.5839,196.2287,-20172.6669,0.359144,0.261944,-0.270644
185,5,181.6083,212.3566,-33161.1312,0.502722,0.367678,-0.268626
185,6,192.2522,224.1652,61051.6085,-0.825894,-0.607478,0.264460
186,4,154.2329,181.2668,3704.1379,-0.077858,-0.056366,0.276035
186,5,168.9289,193.9578,28487.4659,-0.499132,-0.378625,0.241434
186,6,192.4086,224.9646,33367.8924,-0.450661,-0.329663,0.268489
187,5,173.2883,194.9074,-62298.6701,1.037315,0.819959,-0.209537
187,6,176.8875,208.6933,-1870.8457,0.029896,0.021478,-0.281582
188,4,154.2329,181.2668,-9309.0765,0.195669,0.141658,-0.276035
188,5,168.9289,193.9578,-24052.8823,0.421433,0.319685,-0.241434
188,6,192.4086,224.9646,-34056.3422,0.459959,0.336465,-0.268489
189,4,167.5839,196.2287,12187.6016,-0.216982,-0.158257,0.270644
189,5,181.6083,212.3566,38183.9482,-0.578868,-0.423369,0.268626
189,6,192.2522,224.1652,-58323.5916,0.788990,0.580334,-0.264460
190,5,164.4916,190.9817,52899.7049,-0.977542,-0.725170,0.258170
191,5,159.5413,196.8466,97226.4253,-1.909889,-1.254580,0.343114
